feature,feature_label,module,ROI.name,value_raw,value_z
MTR3,MTR3,trichome_morphogenesis,Meristem,14.756765365600586,-0.5866557955741882
TOE1B,TOE1B,glandular_regulation,Meristem,6.451107025146484,-0.8764491677284241
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,Meristem,0.6334100961685181,-0.23948286473751068
ASH3,ASH3,typeIV_acylsugar_metabolism,Meristem,7.810827732086182,-0.7727497220039368
MCPI,MCPI,typeVI_terpene_metabolism,Meristem,36.913028717041016,-0.33882492780685425
EOT1,EOT1,typeVI_terpene_metabolism,Meristem,0.0,-0.34890925884246826
RBCS-1,RBCS-1,reference_control,Meristem,187.94918823242188,-0.5649147629737854
PSBO,PSBO,reference_control,Meristem,117.00464630126953,-0.043178170919418335
Histone H4,Histone H4,reference_control,Meristem,429.7171325683594,-0.6199836730957031
MTR3,MTR3,trichome_morphogenesis,MeristemEpidermis,473.9981384277344,0.527956485748291
TOE1B,TOE1B,glandular_regulation,MeristemEpidermis,5.362394332885742,-0.9832483530044556
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,MeristemEpidermis,0.9490500092506409,-0.0935242772102356
ASH3,ASH3,typeIV_acylsugar_metabolism,MeristemEpidermis,19.64764976501465,-0.19021017849445343
MCPI,MCPI,typeVI_terpene_metabolism,MeristemEpidermis,29.044179916381836,-0.5393704771995544
EOT1,EOT1,typeVI_terpene_metabolism,MeristemEpidermis,1.6373422145843506,-0.30665844678878784
RBCS-1,RBCS-1,reference_control,MeristemEpidermis,234.54295349121094,-0.21673914790153503
PSBO,PSBO,reference_control,MeristemEpidermis,117.2298355102539,-0.0377906858921051
Histone H4,Histone H4,reference_control,MeristemEpidermis,2346.44189453125,2.4625236988067627
MTR3,MTR3,trichome_morphogenesis,LeafEpidermis,488.2338562011719,0.5625076293945312
TOE1B,TOE1B,glandular_regulation,LeafEpidermis,13.274176597595215,-0.20712848007678986
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,LeafEpidermis,1.0049548149108887,-0.06767270714044571
ASH3,ASH3,typeIV_acylsugar_metabolism,LeafEpidermis,29.8038387298584,0.30961835384368896
MCPI,MCPI,typeVI_terpene_metabolism,LeafEpidermis,35.6656494140625,-0.3706156313419342
EOT1,EOT1,typeVI_terpene_metabolism,LeafEpidermis,0.7081530690193176,-0.3306357264518738
RBCS-1,RBCS-1,reference_control,LeafEpidermis,233.8843536376953,-0.2216605842113495
PSBO,PSBO,reference_control,LeafEpidermis,120.05181121826172,0.029722968116402626
Histone H4,Histone H4,reference_control,LeafEpidermis,460.35980224609375,-0.5707036256790161
MTR3,MTR3,trichome_morphogenesis,Trichome,1303.283203125,2.540691614151001
TOE1B,TOE1B,glandular_regulation,Trichome,40.948970794677734,2.5076780319213867
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,Trichome,7.150417327880859,2.7741193771362305
ASH3,ASH3,typeIV_acylsugar_metabolism,Trichome,73.49051666259766,2.459622621536255
MCPI,MCPI,typeVI_terpene_metabolism,Trichome,56.05443572998047,0.1490132212638855
