ROI.name,feature,feature_label,feature_type,module,value_raw,value_z,mapping_note,key_gene
Meristem,epidermal_identity_score,Epidermal identity,module,epidermal_identity,-0.12937601,-0.12937601,,False
Meristem,trichome_morphogenesis_score,Trichome morphogenesis,module,trichome_morphogenesis,-0.07624574,-0.07624574,,False
Meristem,glandular_regulation_score,Glandular regulation,module,glandular_regulation,-0.049486943,-0.049486943,,False
Meristem,typeIV_acylsugar_metabolism_score,Type IV acylsugar metabolism,module,typeIV_acylsugar_metabolism,-0.030203361,-0.030203361,,False
Meristem,typeVI_terpene_metabolism_score,Type VI terpene metabolism,module,typeVI_terpene_metabolism,-0.045033857,-0.045033857,,False
Meristem,reference_control_score,Reference control,module,reference_control,-0.095729716,-0.095729716,,False
MeristemEpidermis,epidermal_identity_score,Epidermal identity,module,epidermal_identity,0.5224448,0.5224448,,False
MeristemEpidermis,trichome_morphogenesis_score,Trichome morphogenesis,module,trichome_morphogenesis,0.09175815,0.09175815,,False
MeristemEpidermis,glandular_regulation_score,Glandular regulation,module,glandular_regulation,-0.027652288,-0.027652288,,False
MeristemEpidermis,typeIV_acylsugar_metabolism_score,Type IV acylsugar metabolism,module,typeIV_acylsugar_metabolism,-0.010647401,-0.010647401,,False
MeristemEpidermis,typeVI_terpene_metabolism_score,Type VI terpene metabolism,module,typeVI_terpene_metabolism,-0.032524783,-0.032524783,,False
MeristemEpidermis,reference_control_score,Reference control,module,reference_control,0.07973638,0.07973638,,False
LeafEpidermis,epidermal_identity_score,Epidermal identity,module,epidermal_identity,0.5217202,0.5217202,,False
LeafEpidermis,trichome_morphogenesis_score,Trichome morphogenesis,module,trichome_morphogenesis,0.105294585,0.105294585,,False
LeafEpidermis,glandular_regulation_score,Glandular regulation,module,glandular_regulation,-0.01727585,-0.01727585,,False
LeafEpidermis,typeIV_acylsugar_metabolism_score,Type IV acylsugar metabolism,module,typeIV_acylsugar_metabolism,0.020857612,0.020857612,,False
LeafEpidermis,typeVI_terpene_metabolism_score,Type VI terpene metabolism,module,typeVI_terpene_metabolism,-0.042489845,-0.042489845,,False
LeafEpidermis,reference_control_score,Reference control,module,reference_control,-0.082502306,-0.082502306,,False
