ROI.name,ROI.id,point,x,y,ROI.name.raw
AdaxialMesophyll,1,1,489.5,-257.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,2,492.5,-257.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,3,493.5,-259.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,4,496.5,-262.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,5,498.5,-262.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,6,498.5,-263.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,7,501.5,-266.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,8,500.5,-282.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,9,498.5,-285.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,10,499.5,-291.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,11,496.5,-293.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,12,496.5,-295.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,13,489.5,-300.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,14,483.5,-306.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,15,483.5,-308.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,16,475.5,-308.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,17,472.5,-306.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,18,470.5,-306.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,19,469.5,-302.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,20,466.5,-299.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,21,466.5,-296.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,22,464.5,-295.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,23,464.5,-292.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,24,462.5,-290.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,25,462.5,-284.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,26,466.5,-277.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,27,466.5,-274.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,28,468.5,-272.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,29,468.5,-269.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,30,470.5,-267.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,31,470.5,-264.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,32,474.5,-261.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,33,480.5,-261.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,34,483.5,-259.5,AdaxialMesophyll object #25 shape
AdaxialMesophyll,1,35,488.5,-258.5,AdaxialMesophyll object #25 shape
AbaxialMesophyll,2,1,1252.5,-584.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,2,1256.5,-584.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,3,1265.5,-591.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,4,1265.5,-596.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,5,1266.5,-597.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,6,1266.5,-609.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,7,1264.5,-611.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,8,1263.5,-615.5,AbaxialMesophyll object #112 shape
AbaxialMesophyll,2,9,1259.5,-618.5,AbaxialMesophyll object #112 shape
