Gene Name,Solyc ID,Solyc_clean,Function/Family,Description,Notes,Original_Solyc_ID,Signature_Class,Confidence,Source_Table,Marker_Aliases,Marker_Category,Priority,Evidence_for_marker_use,Reference_source,ID_Status,Merge_Status,Additional_Notes,Original_Gene_Symbol,Ambiguity_Group,Ambiguity_Version,Panel_Tags
AACS1,Solyc07g043630,Solyc07g043630,Acyl-activating enzyme,Acyl-CoA synthetase for acylsugars,Curated literature-backed Solyc ID updated,Solyc11g067180,Type_IV_like_core,high,curated_base,,metabolic_output_panel; lfs_specialized_metabolism_panel,,Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.,Mandal 2025 New Phytologist; prior acylsugar literature,,base_row,Interpret as downstream metabolic output rather than primary cell-fate marker.,,,,lfs_specialized_metabolism_panel
ABC Transporter,Solyc03g005860,Solyc03g005860,ABC Transporter,Transport of specialized metabolites,,,Type_IV_like_support,medium,curated_base,,metabolic_output_panel; lfs_specialized_metabolism_panel,,Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.,Mandal 2025 New Phytologist; prior acylsugar literature,,base_row,Interpret as downstream metabolic output rather than primary cell-fate marker.,,,,lfs_specialized_metabolism_panel
AECH1,Solyc07g043680,Solyc07g043680,Enoyl-CoA hydratase,Medium-chain acylsugar pathway enzyme,Added from literature-backed type IV-like acylsugar signature,,Type_IV_like_core,high,curated_base,,metabolic_output_panel; lfs_specialized_metabolism_panel,,Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.,Mandal 2025 New Phytologist; prior acylsugar literature,,base_row,Interpret as downstream metabolic output rather than primary cell-fate marker.,,,,
AP2c,Solyc02g093150,Solyc02g093150,AP2/ERF Transcription Factor,"Pathogenesis-related transcriptional factor and ERF, DNA-binding",,,,,curated_base,,,,,,,base_row,,,,,phase_change_ap2_spl_panel
ASAT1,Solyc12g006330,Solyc12g006330,Acylsugar Acyltransferase 1,Initial step in acylsugar biosynthesis,,,Type_IV_like_core,high,curated_base + marker_signature_table,SlASAT1,acylsugar_biosynthesis,Medium,Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4,Previous literature table; ASAT family annotation,confirmed_from_previous_table,overlap_merged,"signature: Type I/IV_acylsugar_support || marker_category: acylsugar_biosynthesis || priority: Medium || evidence: Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4 || reference: Previous literature table; ASAT family annotation || id_status: confirmed_from_previous_table || Shared Solyc ID with other table rows: ASAT1, SlASAT1. Treat aliases/conflicts cautiously.",,,,
ASAT2,Solyc04g012020,Solyc04g012020,Acylsugar Acyltransferase 2,Secondary step in acylsugar biosynthesis,Curated literature-backed Solyc ID updated,Solyc01g105580,Type_IV_like_core,high,curated_base + marker_signature_table,SlASAT2,metabolic_output_panel; lfs_specialized_metabolism_panel,Medium,Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4 || Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.,Previous literature table; ASAT family annotation || Mandal 2025 New Phytologist; prior acylsugar literature,confirmed_from_previous_table,overlap_merged,"signature: Type I/IV_acylsugar_support || marker_category: acylsugar_biosynthesis || priority: Medium || evidence: Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4 || reference: Previous literature table; ASAT family annotation || id_status: confirmed_from_previous_table || Shared Solyc ID with other table rows: ASAT2, SlASAT2. Treat aliases/conflicts cautiously. || Interpret as downstream metabolic output rather than primary cell-fate marker.",,,,lfs_specialized_metabolism_panel
ASAT3,Solyc11g067270,Solyc11g067270,Acylsugar Acyltransferase 3,Branching step in acylsugar biosynthesis,,,Type_IV_like_core,high,curated_base + marker_signature_table,SlASAT3,metabolic_output_panel; lfs_specialized_metabolism_panel,High,Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker || Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.,Kortbeek et al. 2016; Schilmiller et al. 2015 || Mandal 2025 New Phytologist; prior acylsugar literature,confirmed_from_previous_table,overlap_merged,"signature: Type I/IV || marker_category: acylsugar_biosynthesis || priority: High || evidence: Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker || reference: Kortbeek et al. 2016; Schilmiller et al. 2015 || id_status: confirmed_from_previous_table || Shared Solyc ID with other table rows: ASAT3, SlASAT3. Treat aliases/conflicts cautiously. || Interpret as downstream metabolic output rather than primary cell-fate marker.",,,,lfs_specialized_metabolism_panel
ASAT4,Solyc01g105580,Solyc01g105580,Acylsugar Acyltransferase 4,Final step in acylsugar biosynthesis,Curated literature-backed Solyc ID updated,Solyc07g043670,Type_IV_like_core,high,curated_base + marker_signature_table,SlASAT4/SlAT2,acylsugar_biosynthesis,High,Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker,Kortbeek et al. 2016; Schilmiller et al. 2012,confirmed_from_previous_table,overlap_merged,"signature: Type I/IV || marker_category: acylsugar_biosynthesis || priority: High || evidence: Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker || reference: Kortbeek et al. 2016; Schilmiller et al. 2012 || id_status: confirmed_from_previous_table || Shared Solyc ID with other table rows: ASAT4, SlASAT4/SlAT2. Treat aliases/conflicts cautiously.",,,,
CD2,Solyc01g091630,Solyc01g091630,HD-ZIP_IV_TF,Type VI/broad_epidermal_development,Cuticle/epidermal regulator positively impacting type VI density; also listed as characterized trichome development gene,Solyc01g091630,Type_VI_like_regulatory,medium,updated_all_marker_table,,HD-ZIP_IV_TF,Medium,Cuticle/epidermal regulator positively impacting type VI density; also listed as characterized trichome development gene,Zocca et al. 2025; Galdon-Armero 2018,confirmed,new_updated_all_table,Cuticle/epidermal regulator positively impacting type VI density; also listed as characterized trichome development gene,CD2,,,atlas_epidermis_context_panel
CKX1,Solyc10g079870,Solyc10g079870,cytokinin_oxidase_dehydrogenase,Basal_cell_expansion/cytokinin_module,Upregulated in cr-slbrc2a trichomes; CKX misexpression reduces basal trichome cell expansion and nuclear size; useful cytokinin/endoreduplication marker.,Solyc10g079870,Candidate_marker_uncategorized,medium,updated_all_marker_table,,cytokinin_oxidase_dehydrogenase,Medium,Upregulated in cr-slbrc2a trichomes; CKX misexpression reduces basal trichome cell expansion and nuclear size; useful cytokinin/endoreduplication marker.,Wu et al. 2024,confirmed,new_updated_all_table,Upregulated in cr-slbrc2a trichomes; CKX misexpression reduces basal trichome cell expansion and nuclear size; useful cytokinin/endoreduplication marker.,CKX1,,,wo_brc2a_morphogenesis_panel
