gene_name,display_name,solyc_id,module,module_label,module_order,gene_order,gene_role,functional_role,function_summary,reference_label,notes
ML1,ML1,Solyc10g005330,epidermal_identity,Epidermal identity,1,1,HD-Zip IV transcription factor,Epidermal/L1 identity marker,Meristem Layer 1 marker used for epidermal/protoderm context.,Tian et al. 2020; epidermal marker literature,
PDF1,PDF1,Solyc07g055950,epidermal_identity,Epidermal identity,1,2,Protodermal factor,Epidermal/protoderm marker,Protodermal factor linked to epidermal identity and the atlas epidermal trajectory.,Tian et al. 2020,
CD2,CD2,Solyc01g091630,epidermal_identity,Epidermal identity,1,3,HD-Zip IV / cuticle regulator,Epidermal/cuticle context,Cuticle and epidermal regulator used as epidermal/trichome-context support.,Tian et al. 2020; Galdon-Armero 2018; Zocca et al. 2025,Same locus also reported as CD2/ANL2 in atlas context.
SVB,SVB,Solyc01g100750,epidermal_identity,Epidermal identity,1,4,Epidermis/trichome developmental regulator,Epidermal-trichome GRN node,SMALLER TRICHOMES; atlas epidermis-trichome regulatory context marker.,Tian et al. 2020,
WOOLLY / Wo,Wo,Solyc02g080260,epidermal_identity,Epidermal identity,1,5,HD-Zip IV transcription factor,Epidermal-to-trichome competence regulator,Master regulator of trichome initiation and morphogenesis; kept here as epidermal competence/transition support.,Tian et al. 2020; Wu et al. 2023; Zocca et al. 2025; Galdon-Armero 2018,Bridge marker; not interpreted as purely epidermal.
SlWOX3b,WOX3b,Solyc11g072790,trichome_morphogenesis,Trichome morphogenesis,2,1,WOX transcription factor,Trichome morphogenesis regulator,Trichome morphogenesis factor enriched in trichome-labelled nuclei.,Tian et al. 2020; Wu et al. 2023; Zocca et al. 2025,
SlMX1,MX1 / MIXTA,Solyc01g010910,trichome_morphogenesis,Trichome morphogenesis,2,2,MYB/MIXTA-like transcription factor,Trichome morphogenesis regulator,MIXTA-like Wo downstream factor associated with trichome morphogenesis.,Tian et al. 2020; Wu et al. 2023; Galdon-Armero 2018,Use as MX1/MIXTA marker label; avoids duplicating separate MIXTA-like rows.
MTR2/SlCycB3,MTR2 / CycB3,Solyc06g073990,trichome_morphogenesis,Trichome morphogenesis,2,3,MTR / cyclin-B3-like regulator,Wo dosage / multicellular trichome regulator,MTR-family regulator of Wo-dependent multicellular trichome development.,Tian et al. 2020; Wu et al. 2023; Wu et al. 2024,
SlMTR3,MTR3,Solyc01g007870,trichome_morphogenesis,Trichome morphogenesis,2,4,MTR / cyclin-like regulator,Trichome morphogenesis regulator,MTR-family regulator associated with multicellular trichome development.,Zocca et al. 2025; Wu et al. 2023,
HAIR,HAIR,Solyc10g078970,trichome_morphogenesis,Trichome morphogenesis,2,5,C2H2 zinc-finger protein,Trichome development marker,Broad tomato trichome-development gene used as morphogenesis support.,Galdon-Armero 2018,
