module_id,module_name,Gene Name,gene_role,function_summary,reference_label,atlas_id,solyc_id
epidermal_identity,Epidermal identity,ML1,HD-Zip IV transcription factor,Meristem Layer 1 marker used for epidermal/protoderm context.,Tian et al. 2020; epidermal marker literature,Solyc10g005330.3,Solyc10g005330
epidermal_identity,Epidermal identity,PDF1,Protodermal factor,Protodermal factor linked to epidermal identity and the atlas epidermal trajectory.,Tian et al. 2020,Solyc07g055950.3,Solyc07g055950
epidermal_identity,Epidermal identity,CD2,HD-Zip IV / cuticle regulator,Cuticle and epidermal regulator used as epidermal/trichome-context support.,Tian et al. 2020; Galdon-Armero 2018; Zocca et al. 2025,Solyc01g091630.3,Solyc01g091630
epidermal_identity,Epidermal identity,SVB,Epidermis/trichome developmental regulator,SMALLER TRICHOMES; atlas epidermis-trichome regulatory context marker.,Tian et al. 2020,Solyc01g100750.2,Solyc01g100750
epidermal_identity,Epidermal identity,WOOLLY,HD-Zip IV transcription factor,Master regulator of trichome initiation and morphogenesis; kept here as epidermal competence/transition support.,Tian et al. 2020; Wu et al. 2023; Zocca et al. 2025; Galdon-Armero 2018,Solyc02g080260.3,Solyc02g080260
trichome_morphogenesis,Trichome morphogenesis,WOX3b,WOX transcription factor,Trichome morphogenesis factor enriched in trichome-labelled nuclei.,Tian et al. 2020; Wu et al. 2023; Zocca et al. 2025,Solyc11g072790.2,Solyc11g072790
trichome_morphogenesis,Trichome morphogenesis,MX1 / MIXTA,MYB/MIXTA-like transcription factor,MIXTA-like Wo downstream factor associated with trichome morphogenesis.,Tian et al. 2020; Wu et al. 2023; Galdon-Armero 2018,Solyc01g010910.2,Solyc01g010910
trichome_morphogenesis,Trichome morphogenesis,MTR2 / CycB3,MTR / cyclin-B3-like regulator,MTR-family regulator of Wo-dependent multicellular trichome development.,Tian et al. 2020; Wu et al. 2023; Wu et al. 2024,Solyc06g073990.2,Solyc06g073990
trichome_morphogenesis,Trichome morphogenesis,MTR3,MTR / cyclin-like regulator,MTR-family regulator associated with multicellular trichome development.,Zocca et al. 2025; Wu et al. 2023,Solyc01g007870.3,Solyc01g007870
trichome_morphogenesis,Trichome morphogenesis,HAIR,C2H2 zinc-finger protein,Broad tomato trichome-development gene used as morphogenesis support.,Galdon-Armero 2018,Solyc10g078970.1,Solyc10g078970
trichome_morphogenesis,Trichome morphogenesis,Hairless,Actin/WAVE-complex-related protein,Hairless locus version B; structural/morphogenesis marker for tomato trichome development.,Galdon-Armero 2018,Solyc11g013290.2,Solyc11g013290
glandular_regulation,Glandular regulation,Glandless,HD-Zip IV transcription factor,Glandless mutation/VIGS affects type VI gland cells and glandular trichome development.,Zocca et al. 2025; Chang et al. 2024,Solyc09g008810.3,Solyc09g008810
glandular_regulation,Glandular regulation,GCR1,MYB-like transcription factor,Gland cell repressor/regulatory component in glandular trichome development.,Chang et al. 2024; Zocca et al. 2025; Mandal et al. 2025,Solyc02g076670.3,Solyc02g076670
